target_tweet,authentic_reply,STANCE,ACTION,PERSONALNESS,POLITENESS
">RonnyJacksonTX: The American people WILL NOT accept another Biden campaign from the basement. If Biden is unable to campaign, he needs to DROP OUT now! We’re not going to take this again!","@RonnyJacksonTX Inserting your belief. 
Noted.
Move on.",OPPOSE,COMMAND,GENERAL,NORMAL
">CoriBush: The Declaration of Independence was written by enslavers and didn’t recognize Black people as human.

Today is a great day to demand Reparations Now ✊🏾","@CoriBush Tell me you know nothing about that which you blather about, without telling me you know nothing about that which you blather about.",OPPOSE,COMMAND,GENERAL,RUDE
>marklevinshow: A special counsel must be chosen from outside the DOJ. So how did Garland appoint Weiss special counsel?,"@marklevinshow My understanding is that the DOJ is not bound by its own regulations, since this is not a law. Is that true?",NEUTRAL,QUESTION,PERSONAL,NORMAL
>harryjsisson: The way the Republican Party has attacked President Biden and his family is disgusting. Biden never went so low as to go after Trump’s family. Neither did Obama. Neither did Clinton. Democrats don’t need to take the low blows on Republicans. We can run on policy and win.,@harryjsisson U r a libtard idiot,OPPOSE,STATEMENT,GENERAL,RUDE
>Scaramucci: When is enough enough? 4 arrests and 100s of counts against President Trump.  This last one is a brutal incriminating one.  Let’s move on.,@Scaramucci WTF is wrong with you? He committed very SERIOUS crimes. He tried to o er throw our government. These are not things you just move in from.,OPPOSE,QUESTION,GENERAL,RUDE
>ACTBrigitte: President Trump is innocent.,@ACTBrigitte You’re a fool,OPPOSE,STATEMENT,GENERAL,RUDE
>matthewjdowd: In latest polling Biden favorable rating among Dems is at 87% to 11%.  He is far more popular among Dems today than Obama was in 2011 and most of 2012.  Many in news media don’t seem to get this.,@matthewjdowd This will be the only place I'll see it hear this.,SUPPORT,STATEMENT,PERSONAL,NORMAL
">davidhogg111: Every member of congress should go inside the freshman building in Parkland where the slaughter of my classmates and teachers happened before the building is demolished. 

If you’re not gonna pass better guns laws you should have to see what the consequences are.",@davidhogg111 Nahhh,OPPOSE,STATEMENT,GENERAL,NORMAL
">GregAbbott_TX: Schools shouldn’t push woke agendas – period. 

That’s why I signed laws to remove woke politics from Texas classrooms. 

In Texas, we’re getting kids back to the basics of learning.",@GregAbbott_TX WOKE? This woke shit has little meaning and has gone on far to long. Go get your wheelchair greased and tires pumped up or do something that benefits people in Texas.,OPPOSE,COMMAND,GENERAL,RUDE
">PrezLives2022: Prez Boosts 8186 
@KitKatKatie76 
@FlindyD 
@BigOcean3xVaxxx 
@STabbytosavit 
@judyr4792 
@Newyorker2212 
@BreakingKind 
@OGNurseRatchet 
@SandybSassy 
@StaywokeV 
@CaroLicar2 
@MicheleJeanson1 
@24baseballReed 
@tigerkat2222 
@rhmdc187702 
@just_my_tweetz 
@DAJensen07 

No Adds","@PrezLives2022 @KitKatKatie76 @FlindyD @BigOcean3xVaxxx @STabbytosavit @judyr4792 @Newyorker2212 @BreakingKind @OGNurseRatchet @SandybSassy @StaywokeV @CaroLicar2 @MicheleJeanson1 @24baseballReed @tigerkat2222 @rhmdc187702 @just_my_tweetz @DAJensen07 Thanks again, Prez👋",SUPPORT,STATEMENT,GENERAL,NORMAL
">JonathanTurley: After opposing every effort to investigation the Biden corruption scandal, Rep. Jamie Raskin admitted that Hunter “did a lot of really unlawful and wrong things.” Yet, Raskin and his colleagues still are demanding an end of further investigations in the Biden corruption scandal.","@JonathanTurley Hunter. Hunter. Hunter.  You keep wanting to pin something on the President but so far you have come up completely empty handed other than rank speculation, innuendo and conspiracy theories. I think most Dems would argree that if Hunter broke the law he should be accountable.",OPPOSE,STATEMENT,PERSONAL,NORMAL
>krisalteyespy: Is Matt Gaetz in love with Donald Trump?,@krisalteyespy TFG has dirt on Gaetz I bet,NEUTRAL,STATEMENT,PERSONAL,NORMAL
">charliekirk11: The only way this stops is if we start indicting criminal Democrats. There's plenty to choose from. 

Will a single DA or Attorney General step up?","@charliekirk11 Statute
Evidence 
Grand jury

Sit down (__*__)",OPPOSE,COMMAND,GENERAL,RUDE
>StephenM: Just so you understand the new system: the most corrupt democrat jurisdictions will criminally charge you if you challenge their corruption.,@StephenM LOL you are the funniest fool ever!,OPPOSE,STATEMENT,GENERAL,RUDE
">Strandjunker: You know what’s by far the best thing about Trump’s indictment in Atlanta? Guaranteed mugshot, and courtroom proceedings live on TV.",@Strandjunker Yep the ole perp walk. Fun,SUPPORT,STATEMENT,GENERAL,NORMAL
>esglaude: Make an argument that is basically racist under the guise of reasoned debate and then condemn those who describe it as such as racist. I must admit it is an efficient and effective rhetorical move @realchrisrufo,@esglaude @realchrisrufo I fail to see where anything Chris Rufo says is misinformed. He’s more informed and even better at explaining the Racialist Left’s own arguments than they are. He is beating them at their own game and their only retort is the same old “you’re racist”.,NEUTRAL,STATEMENT,PERSONAL,NORMAL
">RyanAFournier: Joe Biden spent the weekend at the beach.  

Kamala Harris spent the weekend in Martha's Vineyard.

Hawaiians spent the weekend wondering why Biden is sending another $24 BILLION to Ukraine.",@RyanAFournier Joe will authorize FEMA to help Hawaii which Trump didn't do until he was cornered like a caged animal.,NEUTRAL,STATEMENT,GENERAL,NORMAL
">elonmusk: For the Tesla FSD test drive in Palo Alto tonight, I will ask the car to drive to @finkd’s house.

Will also test latest X livestream video, so you can monitor our adventure in real-time!

If we get lucky and Zuck my 👅 actually answers the door, the fight is on!","@elonmusk @finkd can't wait,  all my #dogecoin is on Elon",SUPPORT,STATEMENT,PERSONAL,NORMAL
">platinummind: Today is the 50th anniversary of hip hop. What’s your favourite hip hop track? I know someone’s going to get smart and post their own track…

Please don’t 🤣","@platinummind The Message by Grandmaster Flash was the one where , when it was fresh out of the box , people of my age went “ oh this rap thing is not just about waving your hands in the air like you don’t care . “",NEUTRAL,STATEMENT,PERSONAL,NORMAL
>marklevinshow: The idea that these Democrat prosecutors are not colluding is bull crap. They’re all in on it and the Biden DOJ is coordinating it.,"@marklevinshow You talk and talk and talk about everything except the important fact; the evidence.

Virtually all the evidence came from Trump’s own people. If it was enough evidence for multiple grand juries to indict, then indictments, and trials are warranted.",NEUTRAL,STATEMENT,GENERAL,NORMAL
">benshapiro: Whatever you think of the Trump indictments, one thing is for certain: the glass has now been broken over and over again. Political opponents can be targeted by legal enemies. Running for office now carries the legal risk of going to jail -- on all sides.","@benshapiro Is that bad?
Seems like it is not bad.",NEUTRAL,QUESTION,GENERAL,NORMAL
">VP: Trust women to make health care decisions. 

Politicians should not be telling them what to do with their own bodies.","@VP Sorry, but you guys blew it during covid with the whole ""my body my choice"" thing.  Now you're just a hypocrite.",NEUTRAL,STATEMENT,PERSONAL,NORMAL
">ericmmatheny: Any Hawaiian oligarchs who can send Hunter Biden a few million? 

That might motivate his father to give a shit.","@ericmmatheny Nah, he’s too busy sending it all to Ukraine but he’s not compromised or anything….",NEUTRAL,STATEMENT,GENERAL,NORMAL
>GuntherEagleman: What kind of President doesn't go to Hawaii after the state burns down...,@GuntherEagleman Or East Palestine got poisoned,NEUTRAL,STATEMENT,GENERAL,NORMAL
>TristanSnell: I love how Jack Smith and Judge Chutkan are federal employees working on a weekend — when Trump almost never did during his entire presidency.,"@TristanSnell Wow.  Amazing.  Federal workers putting in the “hours.”

To do corrupt shit.

Congratulations, you’re an idiot.",OPPOSE,STATEMENT,GENERAL,RUDE
">BlackKnight10k: As long as Trump continues to get indicted every week, I don't have to change my screen name",@BlackKnight10k @PrincessBravato 😂😂😂😂😂,NEUTRAL,STATEMENT,GENERAL,NORMAL
>CodeMonkeyZ: Will Trump beat his four indictments?,@CodeMonkeyZ You can’t be indicted when you’ve indicted yourself. If you know you know😆🍿,NEUTRAL,STATEMENT,GENERAL,NORMAL
>esglaude: Just lost a good friend. Puts a lot of the nonsense of this season in perspective.,@esglaude I’m so very sorry,NEUTRAL,STATEMENT,GENERAL,NORMAL
>mikepompeo: I trust democratically-elected @Netanyahu and the good people of Israel to manage their affairs. It's not in our interest for the Biden Administration to pressure Israel on judicial reform.,"@mikepompeo @netanyahu Just a minute fat ass, isn’t that what you did for Trump?",NEUTRAL,QUESTION,GENERAL,NORMAL
>dom_lucre: What if I told you Aliens are black?,@dom_lucre What if I told you aliens were Chinese? 🤔,NEUTRAL,QUESTION,PERSONAL,NORMAL
>iluminatibot: It is a documented fact that the United States entered the Vietnam War under false pretenses.,@iluminatibot Robert McNamara also admitted it years later(JFKs/LBJ Sec of Defense),NEUTRAL,STATEMENT,GENERAL,NORMAL
>iluminatibot: Why is there always money for war but not for education?,@iluminatibot Because education of the masses is not their goal,NEUTRAL,STATEMENT,GENERAL,NORMAL
">BaddCompani: microchip

Ghost in the Machine",@BaddCompani 🫣🤭,NEUTRAL,STATEMENT,GENERAL,NORMAL
>RonnyJacksonTX: Hunter Biden is a CRIMINAL who belongs behind bars. If ANYONE ELSE had committed his crimes they’d be LOCKED UP for YEARS. Equal Justice under the law!!,"@RonnyJacksonTX Here, let me remind you one more time Hunter Biden is irrelevant he does not hold any office.  Another stupid a** statement",OPPOSE,STATEMENT,PERSONAL,RUDE
">AdamSchiff: Donald Trump was just indicted on ten new charges by a Georgia grand jury.

This time for attempting to overturn the 2020 election result in Georgia.

Prosecuting a former president will be difficult, but not prosecuting one who sought to overturn an election would be dangerous.","@AdamSchiff Ah, the propagandist praising the propaganda.",NEUTRAL,STATEMENT,GENERAL,NORMAL
>AngelaBelcamino: EVERYTHING IS SO EFFING EXPENSIVE!!! WHY?!?,@AngelaBelcamino Corporate greed.,NEUTRAL,STATEMENT,GENERAL,NORMAL
">JoeBiden: Experts say extreme heat is already costing America $100 billion a year, and it hits our most vulnerable the hardest: seniors, people experiencing homelessness, and disadvantaged communities.
 
That's why we've taken unprecedented action to combat the climate crisis.",@JoeBiden Insufferable pos,NEUTRAL,STATEMENT,GENERAL,NORMAL
">ianbremmer: despite the fall of the rouble, the russian economy is today stronger than most us/nato policymakers had expected when the war started and sanctions were enacted.","@ianbremmer Yeah, because it was over-hyped.",NEUTRAL,STATEMENT,GENERAL,NORMAL
>JebraFaushay: How do you define hate speech?,@JebraFaushay Misgendering or using the wrong pronouns with someone,OPPOSE,STATEMENT,GENERAL,NORMAL
">ChuckCallesto: DONALD J. TRUMP: 'I am asking for everyone at the U.S. Capitol to remain peaceful. NO VIOLENCE! Remember, WE are the Party of Law & Order – respect the Law and our great men and women in Blue. Thank you!' - Jan 6th",@ChuckCallesto Several hours AFTER the violence started,NEUTRAL,STATEMENT,GENERAL,NORMAL
">BillOReilly: As we predicted, Georgia DA indicts Donald Trump on election violations.  Will read the ten counts and have fair analysis tomorrow.  At first glance, indictments look weak and politically motivated.",@BillOReilly No time for obscene voice mail messages tonight for the $32 Million Dollar Man.,OPPOSE,STATEMENT,GENERAL,NORMAL
">laurenboebert: On Monday Devin Archer blows the whistle on the Biden family.

On Tuesday Donald Trump is indicted for the third time.

Anyone who still can’t see the corruption of this administration is willfully blind.",@laurenboebert If you’re so confident in Archers testimony then you’ll be releasing the transcripts then….,NEUTRAL,STATEMENT,GENERAL,NORMAL
>EmeraldRobinson: Remember that time Sen. Rand Paul sent a criminal referral to FBI for Dr. Fauci and then his office in Kentucky burned down the next day?,"@EmeraldRobinson Remember when Emerald was a sane, rational person? No? Me neither.",OPPOSE,QUESTION,PERSONAL,NORMAL
">daviddaleiden: I was given a chance.

And I think that everybody deserves to be given a chance.

❤️✌🏽⚖️

#ProLife",@daviddaleiden You’re a True Hero.,SUPPORT,STATEMENT,GENERAL,NORMAL
">BeschlossDC: Standing next to Trump at Iowa State Fair, Gaetz today says, “We know that only through force can we make any change in a corrupt town like Washington DC.”
Anyone have a reaction?",@BeschlossDC Getting very close to sedition.,NEUTRAL,STATEMENT,GENERAL,NORMAL
">harryjsisson: Reminder: Republicans have no evidence of wrongdoing against President Biden. Not one piece. Zero. None. 

They’ll continue to push their lies and waste our taxpayer dollars on BS investigations but the American people see right through it.","@harryjsisson We know millions were paid to Hunter's corporations so foreign agents could meet with VP Biden and discuss....the weather.  Question is, how much have you been paid lately.",NEUTRAL,STATEMENT,PERSONAL,NORMAL
">DecodingFoxNews: Fox News currently has Sen. Ted Cruz ""reporting"" from outside the courthouse Georgia.  I cannot make that up.  The fact that this network criticizes other cable news channels for being biased is a JOKE.  Cruz is standing with a microphone reporting from the scene.",@DecodingFoxNews @tedcruz and @LindseyGrahamSC are both co-conspirators.,NEUTRAL,STATEMENT,GENERAL,NORMAL
>kathrynresists: So who's going to flip out of the 19 indicted co-conspirators??,"@kathrynresists Question is, who are the unindicted  co-conspirators are. Seems Lindsay was a little scared on tv yesterday, maybe flipped? Who else worked out a deal?",NEUTRAL,QUESTION,GENERAL,NORMAL
">POTUS: I came to office determined to change the economic direction of this country, to move from trickle-down economics to what everyone – from the Wall Street Journal to the Financial Times – is calling “Bidenomics.”

Here's what it means:","@POTUS You definitely changed the economic direction..

Good Lord!!🤦‍♂️",NEUTRAL,STATEMENT,GENERAL,NORMAL
">Timcast: Still haven't been paid by X for the month.

Haven't heard back from X about why either

Any updates @elonmusk?",@Timcast @elonmusk Trouble paying the rent ?,NEUTRAL,QUESTION,GENERAL,NORMAL
">RepJeffries: The Biden economy has produced a record 13.2 million jobs and counting.

Unemployment is below 4% for a historic 17 months in a row.

And inflation continues to fall.

We will always put people over politics.","@RepJeffries Yeah let's not fator in all the retirees that have to take 2nd & 3rd jobs just to make ends meet because of bidenomics 🤬
You fucking retarded demented democrats are a scourge on society.. Move to another planet please & leave us the hell alone! 🤡",OPPOSE,COMMAND,PERSONAL,RUDE
">albertanbeech: The baby turned 6 months old the other day, and with that milestone he has decided he’s never sleeping again",@albertanbeech I’m on Thst phase as well,NEUTRAL,STATEMENT,GENERAL,NORMAL
">RealCandaceO: Follow up question for men only: 

When it comes to your idea of traditional masculinity, who are some men that you think proudly embody it in the public sphere?",@RealCandaceO Hunter Biden,NEUTRAL,STATEMENT,GENERAL,NORMAL
">harryjsisson: Holy crap. Vivek Ramaswamy, who’s polling 3rd in the Republican Party, just suggested that 9/11 was an inside job saying “I don't believe the government has told us the truth.” WTF?

The Republican party is the conspiracy party. They live in fantasy land. Disgusting.",@harryjsisson The worst part of 9/11 is they missed Trump Tower.,NEUTRAL,STATEMENT,GENERAL,NORMAL
">RossKneeDeep: GOP, please stop saying Ronald Reagan was your best president. He was an actor that people liked. Remember Reaganomics,Trickle Down, taxing social security, destroying unions (Air Traffic Controllers), called African delegates monkeys in a conversation with Nixon. He was horrible","@RossKneeDeep Let’s not forget closing mental health hospitals, and releasing the mentally ill onto the streets.",NEUTRAL,STATEMENT,GENERAL,NORMAL
">LindseyGrahamSC: If you are a Russian solider in Ukraine, you have to wonder Who and What am I fighting and dying for?",@LindseyGrahamSC Ukrainians are dying for your money laundering and greed.,NEUTRAL,STATEMENT,GENERAL,NORMAL
>stclairashley: Anybody who asks questions is a conspiracy theorist and probably a white supremacist,@stclairashley This is a very racist post Ashley! 😂,NEUTRAL,STATEMENT,GENERAL,NORMAL
">DC_Draino: Now that Megan Rapinoe has finished her soccer career in disgrace, can we make a new rule that if you’re going to rep Team USA, you have to actually love the country?

We give tests for people to be citizens

Why not give a test or run a quick psych eval to rep Team USA?",@DC_Draino If you had to take a citizen test to post on Twitter we would never read anything you wrote. You are low class.,NEUTRAL,COMMAND,PERSONAL,NORMAL
">SIfill_: D.A. Fani Willis
AG Leticia James
D.A. Alvin Bragg
The January 6th Commission

Don’t forgot those who stepped out in a timely fashion to uphold the rule of law against Trump & have endured the attacks & threats from Trump & his followers.",@SIfill_ @LukeRussell1281 I'm so grateful to each of them.,NEUTRAL,STATEMENT,PERSONAL,NORMAL
>historyinmemes: What fashion trend throughout history should we bring back?,@historyinmemes Public shaming for misdeeds. Does that count?,NEUTRAL,QUESTION,GENERAL,NORMAL
>RonnyJacksonTX: Joe Biden couldn’t be bothered to comment on the HORRIBLE tragedy in Hawaii. Too busy vacationing at the beach. The tragic truth is he’s not the one running the country. He has NO IDEA what’s going on. We deserve MUCH BETTER!,@RonnyJacksonTX Shut up... What you're saying is nothing but a lie.,OPPOSE,COMMAND,GENERAL,RUDE
>WayneDupreeShow: Does anyone remember when we re-elected Donald Trump and they inaugurated Joe Biden,@WayneDupreeShow No because that didn't happen.,OPPOSE,STATEMENT,GENERAL,NORMAL
>HouseGOP: David Weiss CANNOT be trusted to conduct a fair and thorough investigation into Hunter Biden.,@HouseGOP Your shit Party is so compromised by Communists that I wouldn’t be surprised if you appointed Weiss yourselves.,OPPOSE,STATEMENT,PERSONAL,RUDE
">DavidAFrench: I'm struck once again by both the staggering scale of Trump's conspiracy to lie and the incandescent, provable stupidity of the lies themselves.  The indictment is a vivid reminder of those maddening days when we watched people willingly fall for an obvious con.",@DavidAFrench Why put this in the past tense? They're still falling for it.,NEUTRAL,QUESTION,GENERAL,NORMAL
>KellDA: I just want trump jailed pending trial and he has to use the toilet in his cell with no privacy. Is that too much to ask?,@KellDA I second that motion!,NEUTRAL,STATEMENT,PERSONAL,NORMAL
>CheriJacobus: So is Lindsey Graham off the hook?,@CheriJacobus I don't think so.,NEUTRAL,COMMAND,PERSONAL,NORMAL
">MarkWarner: No matter where you’re from – from the biggest cities to the most rural towns – you deserve an equal shot at a small business loan.

I’m working hard in the Senate to drive investments to CDFIs so everyone has an equal shot to join the middle class.",@MarkWarner The middle class that congress is destroying? Oh please 🙄,NEUTRAL,COMMAND,GENERAL,POLITE
">l78lancer: The thought that the GA lieutenant governor could possibly be indicted in Fulton County because he, too, was a fake elector is too delicious.",@l78lancer Wait wait wait is this the former Lt. Gov or the current Lt. Governor? I watched a clip of the former blasting Trump and saying he was the worst mistake the GOP ever made and it's time to move on.,NEUTRAL,QUESTION,PERSONAL,NORMAL
">catturd2: It's painstakingly obvious ... 

The criminal Biden regime cares more about Ukraine than Hawaii.",@catturd2 I'm following you for this,NEUTRAL,STATEMENT,PERSONAL,NORMAL
">AWeissmann_: The better view of ⬇️: The NONProsecution of Trump May Have Terrible Consequences. 
Whatever maelstrom arises from Trump prosecutions is due to Trump's own choices, inflicted on us. He isn't above the law and must be held to account, as political leaders across the globe have.",@AWeissmann_ @djrothkopf We cannot give authoritarian bullies a veto over the legal system. That's implicit in what it means to abide by the rule of law.,NEUTRAL,STATEMENT,PERSONAL,NORMAL
">NozTrey: Good morning, friends.  🌧️
Hoping there’s sun where you are.
☮️💙💛💚","@NozTrey There is sun, but we need it to go away. I can't tolerate this 106 degrees anymore.

Anyway, good morning! 👋🏾",NEUTRAL,COMMAND,PERSONAL,NORMAL
">joelpollak: Next time the @JoeBiden @WhiteHouse condemns @KremlinRussia_E Putin for prosecuting opposition leader @navalny, the response will be quite obvious",@joelpollak @JoeBiden @WhiteHouse @KremlinRussia_E @navalny Only next time? Should have happened when the NY AG moved on Trump Org.,NEUTRAL,QUESTION,GENERAL,NORMAL
">TristanSnell: Saying an election was rigged is legal. 

Stopping an election from being certified is not legal.","@TristanSnell Not true.  Especially, if the results were secured through systems that facilitate fraud.",SUPPORT,STATEMENT,GENERAL,NORMAL
">POTUS: Right now, we have the lowest inflation rate among the G7, wages are growing faster than inflation, job satisfaction is at a 36-year high, and the share of working-age Americans in the workforce is the highest it’s been in 20 years.

It’s no accident. It’s my economic plan.",@POTUS Viejo payaso 🤡 y mentiroso,NEUTRAL,STATEMENT,GENERAL,NORMAL
>Jim_Jordan: Make Groceries Affordable Again!,@Jim_Jordan Make the @GOP do their jobs!! #Uniparty,NEUTRAL,STATEMENT,GENERAL,NORMAL
>JohnWDean: Anyone who cannot fathom how Hitler got control of Germany need only look at Trump’s hold on the base of the GOP and the refusal of GOP leaders who know what is happening to call out his criminal conduct.,@JohnWDean Shameful comment - have you no shame ? Do you even know what Hitler was about ?,OPPOSE,QUESTION,GENERAL,NORMAL
">RepAndyBiggsAZ: Americans can no longer trust the Department of Justice to protect them.

It is politically weaponized against those who stand against the Left's radical agenda.

I stand with President Trump.","@RepAndyBiggsAZ No, honey. We still trust the #DOJ. It's Congress and specifically the #MAGA, extremist members like you that we don't trust.",OPPOSE,COMMAND,PERSONAL,NORMAL
>LilaGraceRose: We are having some friends over who are vegans and I’m making dinner. Vegan followers: what are your most delicious (and preferably not too difficult for a newbie) dinner recipes?,@LilaGraceRose Steak,NEUTRAL,STATEMENT,GENERAL,NORMAL
>alx: Donald Trump’s first post on 𝕏 needs to be his mugshot.,@alx As if he's going to post a picture that says he's 5'11 & 313 lbs.,NEUTRAL,STATEMENT,GENERAL,NORMAL
">paulsperry_: ELECTION INTERFERENCE, WRIT LARGE: Trump's now been hit w/ a total of 91 criminal charges in 4 indictments issued over just the past 5 months. All 91 charges brought by Democrat prosecutors in 4 separate jurisdictions, only after Trump announced he was running for president again","@paulsperry_ The Indictments and Lawsuits against Trump are not intended to put him in Jail

The Russia Collusion Hoax wasn't Intended to have him removed from the Presidency

The Plan is to Dirty him up and Keep Negative Stories in the News Cycle

Same game plan different Story Line
#Trump",NEUTRAL,STATEMENT,GENERAL,NORMAL
">POTUS: The Inflation Reduction Act is the most aggressive investment ever to confront the climate crisis while strengthening our economic and energy security and creating jobs.

We’re on a path to meet our climate goals.",@POTUS I thought it was supposed to be about inflation?  🤔 notice the name of the act?,NEUTRAL,QUESTION,PERSONAL,NORMAL
">BetoORourke: There is one person who has the power to stop Abbott.

Stop him from deploying razor wire & medieval drowning devices designed to ensnare & mutilate. Stop every illegal thing he’s doing on the border that ends up killing human beings. 

Mr. President, we need you to act.",@BetoORourke 🤡,NEUTRAL,STATEMENT,GENERAL,NORMAL
">elonmusk: The fight will be managed by my and Zuck’s foundations (not UFC).

Livestream will be on this platform and Meta. Everything in camera frame will be ancient Rome, so nothing modern at all.

I spoke to the PM of Italy and Minister of Culture. They have agreed on an epic location.",@elonmusk I’m fully available to lend my talents & beauty to be a ring card girl at battle of the gladiators.,NEUTRAL,STATEMENT,PERSONAL,NORMAL
">tweettruth2me: What if wildfires are caused by idiots who don’t understand that wind, fire and dry conditions are not the ideal time to burn stuff?",@tweettruth2me oops,NEUTRAL,STATEMENT,GENERAL,NORMAL
>alx: Only cool people on 𝕏 can reply to this,@alx 🥹,NEUTRAL,STATEMENT,GENERAL,NORMAL
">mehdirhasan: I’ve got to say, the name that stood out to me from the Georgia indictments tonight, simply because of my interactions with her over the years, was former Trump lawyer and longtime Twitter troll @JennaEllisEsq.","@mehdirhasan @JennaEllisEsq Given the number of indictees, Lindsay Graham clearly flipped.",NEUTRAL,STATEMENT,GENERAL,NORMAL
">glennbeck: I'm seeing the government do things I've never seen in my 40+ years of broadcasting. People have mailed credible threats to presidents for years. They've (rightly) been investigated for it, but I've never seen the FBI gun anybody down for it. Ever. This is not normal.",@glennbeck Did this ppl pull guns on the FBI?,NEUTRAL,QUESTION,GENERAL,NORMAL
">KamalaHarris: Child care is just too expensive for far too many working families. 

That's why we announced that we will cap the cost of child care to 7% of income for those who receive federal assistance for child care.",@KamalaHarris You mean tax payers will be paying for it.,NEUTRAL,STATEMENT,GENERAL,NORMAL
>historyinmemes: What’s the greatest medical advancement of all time?,@historyinmemes understanding how the human anatomy works.,NEUTRAL,STATEMENT,GENERAL,NORMAL
">Jim_Jordan: Today’s indictment is just the latest political attack in the Democrats’ WITCH HUNT against President Trump.

He did nothing wrong!","@Jim_Jordan Republican politicians don't have a backbone... Nothing will be done about it. 

And the Democrats know it!",NEUTRAL,COMMAND,GENERAL,NORMAL
">RitchieTorres: BREAKING: George Santos just filed paperwork to be able to raise money for reelection in 2024.

Santos had previously said he wouldn't run again; is he just trying to scam donors to pay back his mysterious $700k loan, or has he simply lied as usual?",@RitchieTorres The Republican Party loves crooks. We need to vote out every Republican.,NEUTRAL,COMMAND,PERSONAL,NORMAL
>marklevinshow: I notice judge and the media were laughing not too long ago.,"@marklevinshow Sir, again, please remember to take your meds & go to bed asap. 😎",NEUTRAL,COMMAND,GENERAL,POLITE
">laurenboebert: Over $100 BILLION to Ukraine.

We could have solved our border issue with ONE THIRD of that money.

It's amazing how the federal government will always find money for other nations even as we sit at $30 TRILLION in debt.",@laurenboebert Try working on a border issue when the Russians are on it…,NEUTRAL,STATEMENT,GENERAL,NORMAL
">kaitlancollins: Mike Pence statement: “Today's indictment serves as an important reminder: anyone who puts himself over the Constitution should never be President of the United States...Our country is more important than one man. Our Constitution is more important than any one man’s career.""",@kaitlancollins @auvi_lu It was nice of him to admit he shouldn’t serve public office ever again,NEUTRAL,STATEMENT,GENERAL,NORMAL
>robreiner: Not hyperbole. We are now living through the most important case brought by the Department of Justice in US history. Whether or not our Democracy survives will be determined by the outcome.,@robreiner 🤦‍♂️,NEUTRAL,STATEMENT,GENERAL,NORMAL
>SenTuberville: . @POTUS My holds only affects generals and flag officers—300 of the nearly 2 million people in the United States Armed Forces.,@SenTuberville @POTUS Cool story 🖕,NEUTRAL,STATEMENT,GENERAL,NORMAL
">BretWeinstein: The Ivermectin story completes a picture of the racket our system has become. The media, government, academy, Pharma and Tech teamed up against the people—exacerbating a man made disaster and demonizing resisters in order to mass-administer a deadly, ineffective, unnecessary shot",@BretWeinstein My entire family took the shot & the boosters. Not one of us has had Covid. Not one.,NEUTRAL,STATEMENT,PERSONAL,NORMAL
>POTUS: We’re working to generate 100% of America’s electricity from clean power sources by 2035.,@POTUS So.... nuclear?,NEUTRAL,QUESTION,GENERAL,NORMAL
>ksorbs: Congressmen should be paid the median salary of the district they represent.,"@ksorbs We just need term limits.

Across the board.

It is the only blind spot that our forefathers had.",NEUTRAL,STATEMENT,PERSONAL,NORMAL
>hana___anah: The jig is up Don the Con.,"@hana___anah Good morning hana and yes, time's up for this criminal! Happy Indictment Tuesday!🌻",SUPPORT,STATEMENT,GENERAL,NORMAL
">LaurenWitzkeDE: Immigrants vote overwhelmingly Democrat. 

Why do you think that is?",@LaurenWitzkeDE Because republicans are the home to white nationalists?,NEUTRAL,QUESTION,GENERAL,NORMAL
">joelpollak: When Republicans make speculative claims about stolen elections, they get indictments and threats of prison, even the death penalty. When Democrats make claims they *know to be untrue* about stolen elections, they get inspector general's reports, promotions, and punditry slots.",@joelpollak Correct because Idiots-are-Republicans; Brawlers are Democrats.,SUPPORT,STATEMENT,GENERAL,RUDE
>realchrisrufo: BREAKING: The New College of Florida board of trustees has directed the administration to abolish its Gender Studies program. We are the first public university in America to begin rolling back the encroachment of queer theory and gender pseudoscience into academic life.,"@realchrisrufo Good, so your son wont be competing with my kids for any job that requires brains",NEUTRAL,STATEMENT,PERSONAL,NORMAL
>IAmJohnAles: WHERE IS MELANIA?,@IAmJohnAles She took her son and her parents out of the country to try and protect them from the crimes she knew her husband committed. Melania is following orders and Putin told her to abandon ship so she flew the coop.,NEUTRAL,STATEMENT,GENERAL,NORMAL
>MikeSington: MSNBC: “There will be an overwhelming number of charges.” #IndictmentWatch,@MikeSington When will we know the names?,NEUTRAL,QUESTION,PERSONAL,NORMAL
">SpeakerPelosi: One year ago today, with the stroke of @POTUS Biden’s pen, our Nation took a giant leap into the future.

The CHIPS and Science Law was a great triumph of patriotism, ensuring that America will continue outcompete any country on Earth.",@SpeakerPelosi @POTUS America wants you back as speaker of the house,NEUTRAL,STATEMENT,GENERAL,NORMAL
">TomCottonAR: What kind of ""work"" did Hunter Biden engage in that warranted $20 million from shady foreign oligarchs?",@TomCottonAR 2 BILLION TO JARED. 2 BILLION! WHY?,NEUTRAL,QUESTION,GENERAL,NORMAL
">MarshaBlackburn: This fiscal year alone, U.S. Border Patrol has seized over $36M worth of fentanyl.
 
Secure the border.",@MarshaBlackburn SEIZED.😊😊,NEUTRAL,STATEMENT,GENERAL,NORMAL
">BreannaMorello: Republicans are ok with just sitting on the sidelines and watching how everything plays out.

They’re trying their hardest not to trigger the intel community or else they’ll be next.

The reality is that strategy only buys you time—not immunity.",@BreannaMorello Feeding the alligator and hoping it eats you last.,NEUTRAL,STATEMENT,GENERAL,NORMAL
